ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 03 Mar 2004,To: 03 Mar 2004,Arizona,CY 2004,11,Ethiopia,8,Phoenix,8,136
From: 03 Mar 2004,To: 03 Mar 2004,Arizona,CY 2004,11,Rwanda,2,Phoenix,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Arizona,CY 2004,11,Sudan,1,Phoenix,1,136
From: 03 Mar 2004,To: 03 Mar 2004,California,CY 2004,19,Iran,16,Beverly Hills,6,136
From: 03 Mar 2004,To: 03 Mar 2004,California,CY 2004,19,Iran,16,Elk Grove,2,136
From: 03 Mar 2004,To: 03 Mar 2004,California,CY 2004,19,Iran,16,Glendale,4,136
From: 03 Mar 2004,To: 03 Mar 2004,California,CY 2004,19,Iran,16,San Jose,4,136
From: 03 Mar 2004,To: 03 Mar 2004,California,CY 2004,19,Somalia,3,San Diego,3,136
From: 03 Mar 2004,To: 03 Mar 2004,Florida,CY 2004,1,Afghanistan,1,Jacksonville,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Georgia,CY 2004,1,Somalia,1,Decatur,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Illinois,CY 2004,3,Sudan,3,Chicago,3,136
From: 03 Mar 2004,To: 03 Mar 2004,Louisiana,CY 2004,7,Somalia,7,Baton Rouge,7,136
From: 03 Mar 2004,To: 03 Mar 2004,Maine,CY 2004,2,Sudan,2,Portland,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Maryland,CY 2004,1,Afghanistan,1,Brandywine,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Massachusetts,CY 2004,5,Afghanistan,5,Boston,5,136
From: 03 Mar 2004,To: 03 Mar 2004,Michigan,CY 2004,2,Eritrea,1,Lansing,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Michigan,CY 2004,2,Sudan,1,Grand Rapids,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Ethiopia,26,Minneapolis,19,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Ethiopia,26,Richfield,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Ethiopia,26,Saint Paul,6,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Somalia,13,Minneapolis,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Somalia,13,Richfield,4,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Somalia,13,Rochester,7,136
From: 03 Mar 2004,To: 03 Mar 2004,Minnesota,CY 2004,42,Sudan,3,Blaine,3,136
From: 03 Mar 2004,To: 03 Mar 2004,Nevada,CY 2004,1,Sudan,1,Las Vegas,1,136
From: 03 Mar 2004,To: 03 Mar 2004,New Mexico,CY 2004,1,Afghanistan,1,Albuquerque,1,136
From: 03 Mar 2004,To: 03 Mar 2004,New York,CY 2004,1,Afghanistan,1,Syracuse,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Ohio,CY 2004,6,Ethiopia,6,Cincinnati,6,136
From: 03 Mar 2004,To: 03 Mar 2004,Oregon,CY 2004,1,Ethiopia,1,Portland,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Pennsylvania,CY 2004,1,Ukraine,1,Edwardsville,1,136
From: 03 Mar 2004,To: 03 Mar 2004,South Dakota,CY 2004,2,Afghanistan,2,Sioux Falls,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Tennessee,CY 2004,1,Sudan,1,Memphis,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Texas,CY 2004,1,Sudan,1,Houston,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Virginia,CY 2004,16,Afghanistan,1,Charlottesville,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Virginia,CY 2004,16,Dem. Rep. Congo,7,Alexandria,7,136
From: 03 Mar 2004,To: 03 Mar 2004,Virginia,CY 2004,16,Somalia,6,Falls Church,6,136
From: 03 Mar 2004,To: 03 Mar 2004,Virginia,CY 2004,16,Sudan,2,Richmond,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Washington,CY 2004,10,Sudan,4,Kent,4,136
From: 03 Mar 2004,To: 03 Mar 2004,Washington,CY 2004,10,Ukraine,6,Edmonds,3,136
From: 03 Mar 2004,To: 03 Mar 2004,Washington,CY 2004,10,Ukraine,6,Federal Way,2,136
From: 03 Mar 2004,To: 03 Mar 2004,Washington,CY 2004,10,Ukraine,6,Vancouver,1,136
From: 03 Mar 2004,To: 03 Mar 2004,Wisconsin,CY 2004,1,Somalia,1,Milwaukee,1,136

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 03 Mar 2004,To: 03 Mar 2004,Afghanistan,CY 2004,12,Florida,1,Jacksonville,1,136
